42,Hot Toppings Pizza,5,Houston,https://www.yelp.com/biz/hot-toppings-pizza-houston?adjust_creative=W0G1IM24rTZuneG9fLL4Ng&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=W0G1IM24rTZuneG9fLL4Ng,hot-toppings-pizza-houston
43,Kuma Burgers,4.5,Houston,https://www.yelp.com/biz/kuma-burgers-houston?adjust_creative=W0G1IM24rTZuneG9fLL4Ng&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=W0G1IM24rTZuneG9fLL4Ng,kuma-burgers-houston
44,Peli Peli Kitchen,4.5,Houston,https://www.yelp.com/biz/peli-peli-kitchen-houston?adjust_creative=W0G1IM24rTZuneG9fLL4Ng&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=W0G1IM24rTZuneG9fLL4Ng,peli-peli-kitchen-houston
45,YoYo's Hot Dog,4.5,Houston,https://www.yelp.com/biz/yoyos-hot-dog-houston-10?adjust_creative=W0G1IM24rTZuneG9fLL4Ng&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=W0G1IM24rTZuneG9fLL4Ng,yoyos-hot-dog-houston-10
46,Kitchen 713,4.5,Houston,https://www.yelp.com/biz/kitchen-713-houston-3?adjust_creative=W0G1IM24rTZuneG9fLL4Ng&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=W0G1IM24rTZuneG9fLL4Ng,kitchen-713-houston-3
47,Local Foods,4.5,Houston,https://www.yelp.com/biz/local-foods-houston?adjust_creative=W0G1IM24rTZuneG9fLL4Ng&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=W0G1IM24rTZuneG9fLL4Ng,local-foods-houston
48,Texas Shrimp Shack,4.5,Houston,https://www.yelp.com/biz/texas-shrimp-shack-houston?adjust_creative=W0G1IM24rTZuneG9fLL4Ng&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=W0G1IM24rTZuneG9fLL4Ng,texas-shrimp-shack-houston
49,Thai Gourmet,4.5,Houston,https://www.yelp.com/biz/thai-gourmet-houston?adjust_creative=W0G1IM24rTZuneG9fLL4Ng&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=W0G1IM24rTZuneG9fLL4Ng,thai-gourmet-houston
50,Pepper Twins,4.5,Houston,https://www.yelp.com/biz/pepper-twins-houston?adjust_creative=W0G1IM24rTZuneG9fLL4Ng&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=W0G1IM24rTZuneG9fLL4Ng,pepper-twins-houston
51,Unos P'nches Tacos,5,Houston,https://www.yelp.com/biz/unos-pnches-tacos-houston?adjust_creative=W0G1IM24rTZuneG9fLL4Ng&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=W0G1IM24rTZuneG9fLL4Ng,unos-pnches-tacos-houston
52,Las Tortas Perronas,5,Houston,https://www.yelp.com/biz/las-tortas-perronas-houston-8?adjust_creative=W0G1IM24rTZuneG9fLL4Ng&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=W0G1IM24rTZuneG9fLL4Ng,las-tortas-perronas-houston-8
53,Rachels Cafe,5,Houston,https://www.yelp.com/biz/rachels-cafe-houston?adjust_creative=W0G1IM24rTZuneG9fLL4Ng&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=W0G1IM24rTZuneG9fLL4Ng,rachels-cafe-houston
54,Gumbo Jeaux's,4.5,Houston,https://www.yelp.com/biz/gumbo-jeauxs-houston-2?adjust_creative=W0G1IM24rTZuneG9fLL4Ng&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=W0G1IM24rTZuneG9fLL4Ng,gumbo-jeauxs-houston-2
55,Gyro King,4.5,Houston,https://www.yelp.com/biz/gyro-king-houston?adjust_creative=W0G1IM24rTZuneG9fLL4Ng&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=W0G1IM24rTZuneG9fLL4Ng,gyro-king-houston
56,Che Inka,4.5,Houston,https://www.yelp.com/biz/che-inka-houston?adjust_creative=W0G1IM24rTZuneG9fLL4Ng&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=W0G1IM24rTZuneG9fLL4Ng,che-inka-houston
57,Zen Japanese Izakaya,4.5,Houston,https://www.yelp.com/biz/zen-japanese-izakaya-houston?adjust_creative=W0G1IM24rTZuneG9fLL4Ng&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=W0G1IM24rTZuneG9fLL4Ng,zen-japanese-izakaya-houston
58,Luna Pizzeria,4.5,Houston,https://www.yelp.com/biz/luna-pizzeria-houston-2?adjust_creative=W0G1IM24rTZuneG9fLL4Ng&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=W0G1IM24rTZuneG9fLL4Ng,luna-pizzeria-houston-2
59,Braddah Bowls,5,Portland,https://www.yelp.com/biz/braddah-bowls-portland-2?adjust_creative=W0G1IM24rTZuneG9fLL4Ng&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=W0G1IM24rTZuneG9fLL4Ng,braddah-bowls-portland-2
